id,code,name,discipline,description,is_ppm_enabled,is_reactive_enabled,default_response_hours,default_resolution_hours,active,sort_order,created_at,updated_at
78f25dc4-8600-4359-8bc0-d4cc2ec0264a,CLEANING,Cleaning / Housekeeping,Cleaning,Routine and periodic cleaning as per site requirement,t,t,,,t,0,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
c36728e7-b04a-43ff-b88c-f6b3ba84ef3f,MEP_HVAC,MEP & HVAC Maintenance,MEP/HVAC/Civil,PPM as per approved schedule; HVAC system maintenance 4 times PA,t,t,,,t,1,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
61a5fdcf-cc09-42d2-a429-79565914029a,SWIMMING_POOL,Swimming Pool Maintenance,Swimming Pool,"2 pools, weekly 3 visits",t,t,,,t,2,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
db8d366d-4721-4d3e-9b5d-663474ce6122,LIFT,Lift Maintenance,Lift,As per lift maintenance schedule / contractor,t,t,,,t,3,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
417e1b3f-ab74-4ee6-92c3-b12474823063,CIVIL,Civil & Carpentry Maintenance,Civil,As and when required / corrective,t,t,,,t,4,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
a0577629-8bce-440a-b439-52b3d515ae10,AC_DUCT,AC Duct Cleaning - Common Areas,HVAC,As per approved schedule / to confirm,t,t,,,t,5,2026-08-15 11:07:09.551543+00,2026-08-15 11:07:09.551543+00
